Material Number,Material Description,Plant,MRP Element Indicator,Item Text,Availability Date,Quantity,Request Date,Requester Email,Reservation No,Deletion Remark,Upload Date,DeleteDate,MSU,Type,Active in System,PDE Checking,Rolling Checking,availability_month,snapshot_extracted,snapshot_ts,snapshot_date,requester_role,te 
80895890.0,PTN Millie SHM 530GX6 LIGHT TONIC,0386,HKTW Millie online sticker PQ,R Material,2026-01-26,200.0,2025-12-23,chen.g.9@pg.com,3515664652,remove,2025-12-24,2026-01-20,0.24016,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A668,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,1133.0,2025-12-26,xie.xy@pg.com,3516765555,已排产,2025-12-26,2026-01-26,0.9241881,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A672,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,1423.0,2025-12-26,xie.xy@pg.com,3516765556,已排产,2025-12-26,2026-01-26,1.1607411,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A673,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,1615.0,2025-12-26,xie.xy@pg.com,3516765557,已排产,2025-12-26,2026-01-26,1.3173555,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A680,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,1021.0,2025-12-26,xie.xy@pg.com,3516765580,已排产,2025-12-26,2026-01-26,0.8328297,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A715,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,147.0,2025-12-26,xie.xy@pg.com,3516765583,已排产,2025-12-26,2026-01-26,0.1199079,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A716,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,124.0,2025-12-26,xie.xy@pg.com,3516765587,已排产,2025-12-26,2026-01-26,0.1011468,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,C816,PNT Aurora Jar Highside Delta,R Quotation ,2026-01-26,1407.0,2025-12-26,xie.xy@pg.com,3516765590,已排产,2025-12-26,2026-01-26,1.1476899,FG,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A668,PNT Aurora Jar Highside Delta,R Material,2026-03-01,340.0,2025-12-26,xie.xy@pg.com,3516765593, ,2025-12-26,,0.277338,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A672,PNT Aurora Jar Highside Delta,R Material,2026-03-01,427.0,2025-12-26,xie.xy@pg.com,3516765595, ,2025-12-26,,0.3483039,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A673,PNT Aurora Jar Highside Delta,R Material,2026-03-01,484.0,2025-12-26,xie.xy@pg.com,3516765598, ,2025-12-26,,0.3947988,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A680,PNT Aurora Jar Highside Delta,R Material,2026-03-01,305.0,2025-12-26,xie.xy@pg.com,3516765600, ,2025-12-26,,0.2487885,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A715,PNT Aurora Jar Highside Delta,R Material,2026-03-01,44.0,2025-12-26,xie.xy@pg.com,3516765602, ,2025-12-26,,0.0358908,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A716,PNT Aurora Jar Highside Delta,R Material,2026-03-01,37.0,2025-12-26,xie.xy@pg.com,3516765606, ,2025-12-26,,0.0301809,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,C816,PNT Aurora Jar Highside Delta,R Material,2026-03-01,423.0,2025-12-26,xie.xy@pg.com,3516765609, ,2025-12-26,,0.3450411,Material,Yes,,,2026-03,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A668,PNT Aurora Jar Highside Delta,R Material,2026-04-01,793.0,2025-12-26,xie.xy@pg.com,3516765610, ,2025-12-26,,0.6468501,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A672,PNT Aurora Jar Highside Delta,R Material,2026-04-01,997.0,2025-12-26,xie.xy@pg.com,3516765611, ,2025-12-26,,0.8132529,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A673,PNT Aurora Jar Highside Delta,R Material,2026-04-01,1130.0,2025-12-26,xie.xy@pg.com,3516765612, ,2025-12-26,,0.921741,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A680,PNT Aurora Jar Highside Delta,R Material,2026-04-01,715.0,2025-12-26,xie.xy@pg.com,3516765613, ,2025-12-26,,0.5832255,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A715,PNT Aurora Jar Highside Delta,R Material,2026-04-01,103.0,2025-12-26,xie.xy@pg.com,3516765614, ,2025-12-26,,0.0840171,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,A716,PNT Aurora Jar Highside Delta,R Material,2026-04-01,86.0,2025-12-26,xie.xy@pg.com,3516765615, ,2025-12-26,,0.0701502,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80891917.0,PTN ROT 180GX12 MILKY MASK,C816,PNT Aurora Jar Highside Delta,R Material,2026-04-01,986.0,2025-12-26,xie.xy@pg.com,3516765616, ,2025-12-26,,0.8042802,Material,Yes,,,2026-04,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A668,H&S Nova 2 in 1 HS,R Material,2026-01-12,118.0,2025-12-29,liu.b.2@pg.com,3518191348,change date,2025-12-29,2026-01-09,0.3582598,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A672,H&S Nova 2 in 1 HS,R Material,2026-01-12,433.0,2025-12-29,liu.b.2@pg.com,3518191349,change date,2025-12-29,2026-01-09,1.3146313,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A673,H&S Nova 2 in 1 HS,R Material,2026-01-12,594.0,2025-12-29,liu.b.2@pg.com,3518191350,change date,2025-12-29,2026-01-09,1.8034434,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A680,H&S Nova 2 in 1 HS,R Material,2026-01-12,219.0,2025-12-29,liu.b.2@pg.com,3518191351,change date,2025-12-29,2026-01-09,0.6649059,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A715,H&S Nova 2 in 1 HS,R Material,2026-01-12,60.0,2025-12-29,liu.b.2@pg.com,3518191352,change date,2025-12-29,2026-01-09,0.182166,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A716,H&S Nova 2 in 1 HS,R Material,2026-01-12,80.0,2025-12-29,liu.b.2@pg.com,3518191353,change date,2025-12-29,2026-01-09,0.242888,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,C816,H&S Nova 2 in 1 HS,R Material,2026-01-12,476.0,2025-12-29,liu.b.2@pg.com,3518191354,change date,2025-12-29,2026-01-09,1.4451836,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A668,H&S Nova 2 in 1 HS,R Material,2026-01-12,158.0,2025-12-29,liu.b.2@pg.com,3518191355,change date,2025-12-29,2026-01-09,0.4797038,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A672,H&S Nova 2 in 1 HS,R Material,2026-01-12,581.0,2025-12-29,liu.b.2@pg.com,3518191356,change date,2025-12-29,2026-01-09,1.7639741,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A673,H&S Nova 2 in 1 HS,R Material,2026-01-12,790.0,2025-12-29,liu.b.2@pg.com,3518191357,change date,2025-12-29,2026-01-09,2.398519,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A680,H&S Nova 2 in 1 HS,R Material,2026-01-12,292.0,2025-12-29,liu.b.2@pg.com,3518191418,change date,2025-12-29,2026-01-09,0.8865412,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A715,H&S Nova 2 in 1 HS,R Material,2026-01-12,80.0,2025-12-29,liu.b.2@pg.com,3518191419,change date,2025-12-29,2026-01-09,0.242888,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,A716,H&S Nova 2 in 1 HS,R Material,2026-01-12,105.0,2025-12-29,liu.b.2@pg.com,3518191420,change date,2025-12-29,2026-01-09,0.3187905,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889183.0,H&S SHM 670GX12 Apple 2 in 1,C816,H&S Nova 2 in 1 HS,R Material,2026-01-12,634.0,2025-12-29,liu.b.2@pg.com,3518191421,change date,2025-12-29,2026-01-09,1.9248874,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A668,H&S Nova 2 in 1 HS,R Material,2026-01-12,149.0,2025-12-29,liu.b.2@pg.com,3518191422,change date,2025-12-29,2026-01-09,0.2430637,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A672,H&S Nova 2 in 1 HS,R Material,2026-01-12,541.0,2025-12-29,liu.b.2@pg.com,3518191423,change date,2025-12-29,2026-01-09,0.8825333,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A673,H&S Nova 2 in 1 HS,R Material,2026-01-12,734.0,2025-12-29,liu.b.2@pg.com,3518191424,change date,2025-12-29,2026-01-09,1.1973742,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A680,H&S Nova 2 in 1 HS,R Material,2026-01-12,271.0,2025-12-29,liu.b.2@pg.com,3518191425,change date,2025-12-29,2026-01-09,0.4420823,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A715,H&S Nova 2 in 1 HS,R Material,2026-01-12,73.0,2025-12-29,liu.b.2@pg.com,3518191426,change date,2025-12-29,2026-01-09,0.1190849,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,A716,H&S Nova 2 in 1 HS,R Material,2026-01-12,100.0,2025-12-29,liu.b.2@pg.com,3518191427,change date,2025-12-29,2026-01-09,0.16313,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889184.0,H&S SHM 360GX12 Gardenia 2 in 1,C816,H&S Nova 2 in 1 HS,R Material,2026-01-12,588.0,2025-12-29,liu.b.2@pg.com,3518191428,change date,2025-12-29,2026-01-09,0.9592044,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A668,H&S Nova 2 in 1 HS,R Material,2026-01-12,148.0,2025-12-29,liu.b.2@pg.com,3518191429,change date,2025-12-29,2026-01-09,0.2414324,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A672,H&S Nova 2 in 1 HS,R Material,2026-01-12,540.0,2025-12-29,liu.b.2@pg.com,3518191430,change date,2025-12-29,2026-01-09,0.880902,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A673,H&S Nova 2 in 1 HS,R Material,2026-01-12,734.0,2025-12-29,liu.b.2@pg.com,3518191431,change date,2025-12-29,2026-01-09,1.1973742,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A680,H&S Nova 2 in 1 HS,R Material,2026-01-12,271.0,2025-12-29,liu.b.2@pg.com,3518191432,change date,2025-12-29,2026-01-09,0.4420823,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A715,H&S Nova 2 in 1 HS,R Material,2026-01-12,75.0,2025-12-29,liu.b.2@pg.com,3518191433,change date,2025-12-29,2026-01-09,0.1223475,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,A716,H&S Nova 2 in 1 HS,R Material,2026-01-12,99.0,2025-12-29,liu.b.2@pg.com,3518191434,change date,2025-12-29,2026-01-09,0.1614987,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889185.0,H&S SHM 360GX12 Apple 2 in 1,C816,H&S Nova 2 in 1 HS,R Material,2026-01-12,588.0,2025-12-29,liu.b.2@pg.com,3518191435,change date,2025-12-29,2026-01-09,0.9592044,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A668,H&S Nova 2 in 1 HS,R Material,2026-01-12,98.0,2025-12-29,liu.b.2@pg.com,3518191436,change date,2025-12-29,2026-01-09,0.2975378,Material,Deleted,,,2026-01,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A672,H&S Nova 2 in 1 HS,R Material,2026-02-10,361.0,2025-12-29,liu.b.2@pg.com,3518191437, ,2025-12-29,,1.0960321,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A673,H&S Nova 2 in 1 HS,R Material,2026-02-10,495.0,2025-12-29,liu.b.2@pg.com,3518191458, ,2025-12-29,,1.5028695,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A680,H&S Nova 2 in 1 HS,R Material,2026-02-10,182.0,2025-12-29,liu.b.2@pg.com,3518191459, ,2025-12-29,,0.5525702,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A715,H&S Nova 2 in 1 HS,R Material,2026-02-10,50.0,2025-12-29,liu.b.2@pg.com,3518191460, ,2025-12-29,,0.151805,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,A716,H&S Nova 2 in 1 HS,R Material,2026-02-10,67.0,2025-12-29,liu.b.2@pg.com,3518191461, ,2025-12-29,,0.2034187,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
80889182.0,H&S SHM 670GX12 Gardedia 2 in 1,C816,H&S Nova 2 in 1 HS,R Material,2026-02-10,397.0,2025-12-29,liu.b.2@pg.com,3518191462, ,2025-12-29,,1.2053317,Material,Yes,,,2026-02,2026-01-28 02:23:01.688478,2026-01-28T10:23:01.695491+08:00,2026-01-28,,
